eval_id,tier,mimo_before,mimo_after,sonnet_before,sonnet_after,mimo_after_ok
algo-nth-prime,author,1.00,1.00,1.00,1.00,true
algo-roman,author,0.00,1.00,1.00,1.00,true
algo-balanced-brackets,author,1.00,0.25,1.00,1.00,true
algo-word-count,author,1.00,1.00,1.00,1.00,true
data-parse-csv,author,1.00,1.00,1.00,1.00,true
data-top-three,author,1.00,1.00,1.00,1.00,true
dataflow-temperature,author,1.00,1.00,1.00,1.00,true
viz-revenue-bars,author,0.00,1.00,1.00,1.00,true
ui-people-table,author,1.00,1.00,1.00,1.00,true
ui-slider-square,author,0.50,1.00,1.00,1.00,true
lib-d3-extent,author,1.00,1.00,1.00,1.00,true
import-cross-module,author,0.63,0.38,0.63,0.63,true
import-esm-md5,author,1.00,1.00,1.00,1.00,true
import-esm-util,author,1.00,1.00,1.00,1.00,true
edit-exporter-title,in-place,1.00,1.00,1.00,1.00,true
el-modify-live,in-place,1.00,1.00,1.00,1.00,true
el-delete-prune,in-place,0.57,0.00,0.57,0.57,false
el-import-into-existing,in-place,0.57,0.57,0.57,0.57,true
el-viewof-live,author,1.00,1.00,1.00,0.43,true
debug-average,in-place,1.00,1.00,1.00,1.00,true
debug-off-by-one,in-place,1.00,1.00,1.00,1.00,true
