      0ms  initscript       
     70ms  dom              prerender=in-page liveCells=0 parsed=0.1MB scrollY=0
    149ms  dom              prerender=in-page liveCells=0 parsed=0.2MB scrollY=0
    211ms  dom              prerender=in-page liveCells=0 parsed=0.4MB scrollY=0
    263ms  dom              prerender=in-page liveCells=0 parsed=0.5MB scrollY=0
    471ms  dom              prerender=in-page liveCells=0 parsed=0.6MB scrollY=0
    529ms  dom              prerender=in-page liveCells=0 parsed=0.8MB scrollY=0
    580ms  dom              prerender=overlay liveCells=0 parsed=0.1MB scrollY=0
    733ms  dom              prerender=overlay liveCells=0 parsed=0.2MB scrollY=0
    785ms  dom              prerender=overlay liveCells=0 parsed=0.3MB scrollY=0
    836ms  dom              prerender=overlay liveCells=0 parsed=0.4MB scrollY=0
    886ms  dom              prerender=overlay liveCells=0 parsed=0.5MB scrollY=0
    938ms  dom              prerender=overlay liveCells=0 parsed=0.7MB scrollY=0
    989ms  dom              prerender=overlay liveCells=0 parsed=0.8MB scrollY=0
   1041ms  dom              prerender=overlay liveCells=0 parsed=0.9MB scrollY=0
   1092ms  dom              prerender=overlay liveCells=0 parsed=1.0MB scrollY=0
   1247ms  dom              prerender=overlay liveCells=0 parsed=1.1MB scrollY=0
   1299ms  dom              prerender=overlay liveCells=0 parsed=1.2MB scrollY=0
   1402ms  dom              prerender=overlay liveCells=0 parsed=1.3MB scrollY=0
   1454ms  dom              prerender=overlay liveCells=0 parsed=1.5MB scrollY=0
   1505ms  dom              prerender=overlay liveCells=0 parsed=1.6MB scrollY=0
   1557ms  dom              prerender=overlay liveCells=0 parsed=1.7MB scrollY=0
   1610ms  dom              prerender=overlay liveCells=0 parsed=1.8MB scrollY=0
   1766ms  dom              prerender=overlay liveCells=0 parsed=2.1MB scrollY=0
   1872ms  dom              prerender=overlay liveCells=0 parsed=2.3MB scrollY=0
   1924ms  dom              prerender=overlay liveCells=0 parsed=2.4MB scrollY=0
   1976ms  dom              prerender=overlay liveCells=0 parsed=2.5MB scrollY=0
   2082ms  dom              prerender=overlay liveCells=0 parsed=2.7MB scrollY=0
   2134ms  dom              prerender=overlay liveCells=0 parsed=2.8MB scrollY=0
   2186ms  dom              prerender=overlay liveCells=0 parsed=2.9MB scrollY=0
   2344ms  dom              prerender=overlay liveCells=0 parsed=3.0MB scrollY=0
   2397ms  dom              prerender=overlay liveCells=0 parsed=3.1MB scrollY=0
   2503ms  dom              prerender=overlay liveCells=0 parsed=3.2MB scrollY=0
   2558ms  dom              prerender=overlay liveCells=0 parsed=3.3MB scrollY=0
   2612ms  dom              prerender=overlay liveCells=0 parsed=3.5MB scrollY=0
   2718ms  dom              prerender=overlay liveCells=0 parsed=3.6MB scrollY=0
   2826ms  dom              prerender=overlay liveCells=0 parsed=3.7MB scrollY=0
   2932ms  dom              prerender=overlay liveCells=0 parsed=3.8MB scrollY=0
   2985ms  dom              prerender=overlay liveCells=0 parsed=3.9MB scrollY=0
   3039ms  dom              prerender=overlay liveCells=0 parsed=4.0MB scrollY=0
   3149ms  dom              prerender=overlay liveCells=0 parsed=4.1MB scrollY=0
   3203ms  dom              prerender=overlay liveCells=0 parsed=4.2MB scrollY=0
   3257ms  dom              prerender=overlay liveCells=0 parsed=4.3MB scrollY=0
   3416ms  dom              prerender=overlay liveCells=0 parsed=4.4MB scrollY=0
   3470ms  dom              prerender=overlay liveCells=0 parsed=4.5MB scrollY=0
   3522ms  dom              prerender=overlay liveCells=0 parsed=4.6MB scrollY=0
   3628ms  dom              prerender=overlay liveCells=0 parsed=4.7MB scrollY=0
   3950ms  dom              prerender=overlay liveCells=0 parsed=4.8MB scrollY=0
   4110ms  dom              prerender=overlay liveCells=0 parsed=4.9MB scrollY=0
   4378ms  dom              prerender=overlay liveCells=0 parsed=5.0MB scrollY=0
   4540ms  dom              prerender=overlay liveCells=0 parsed=5.1MB scrollY=0
   4648ms  dom              prerender=overlay liveCells=0 parsed=5.2MB scrollY=0
   4702ms  dom              prerender=overlay liveCells=0 parsed=5.3MB scrollY=0
   4809ms  dom              prerender=overlay liveCells=0 parsed=5.4MB scrollY=0
   4969ms  dom              prerender=overlay liveCells=0 parsed=5.5MB scrollY=0
   5077ms  dom              prerender=overlay liveCells=0 parsed=5.6MB scrollY=0
   5130ms  dom              prerender=overlay liveCells=0 parsed=5.7MB scrollY=0
   5236ms  dom              prerender=overlay liveCells=0 parsed=5.8MB scrollY=0
   5289ms  dom              prerender=overlay liveCells=0 parsed=5.9MB scrollY=0
   5450ms  dom              prerender=overlay liveCells=0 parsed=6.0MB scrollY=0
   5557ms  dom              prerender=GONE liveCells=0 parsed=6.1MB scrollY=0
   5610ms  dom              prerender=GONE liveCells=0 parsed=6.2MB scrollY=0
   5666ms  dom              prerender=GONE liveCells=0 parsed=6.3MB scrollY=0
   5720ms  dom              prerender=GONE liveCells=0 parsed=6.4MB scrollY=0
   5774ms  dom              prerender=GONE liveCells=0 parsed=6.5MB scrollY=0
   5829ms  dom              prerender=GONE liveCells=0 parsed=6.6MB scrollY=0
   5998ms  dom              prerender=GONE liveCells=0 parsed=6.7MB scrollY=0
   6054ms  dom              prerender=GONE liveCells=0 parsed=6.8MB scrollY=0
   6109ms  dom              prerender=GONE liveCells=0 parsed=6.9MB scrollY=0
   6165ms  dom              prerender=GONE liveCells=0 parsed=7.0MB scrollY=0
   6222ms  dom              prerender=GONE liveCells=0 parsed=7.1MB scrollY=0
   6280ms  dom              prerender=GONE liveCells=0 parsed=7.2MB scrollY=0
   6335ms  dom              prerender=GONE liveCells=0 parsed=7.4MB scrollY=0
   6390ms  dom              prerender=GONE liveCells=0 parsed=7.5MB scrollY=0
   6557ms  dom              prerender=GONE liveCells=0 parsed=7.7MB scrollY=0
   6612ms  dom              prerender=GONE liveCells=0 parsed=7.8MB scrollY=0
   6667ms  dom              prerender=GONE liveCells=0 parsed=7.9MB scrollY=0
   6722ms  dom              prerender=GONE liveCells=0 parsed=8.0MB scrollY=0
   6777ms  dom              prerender=GONE liveCells=0 parsed=8.1MB scrollY=0
   6833ms  dom              prerender=GONE liveCells=0 parsed=8.2MB scrollY=0
   6887ms  dom              prerender=GONE liveCells=0 parsed=8.3MB scrollY=0
   6998ms  dom              prerender=GONE liveCells=0 parsed=8.4MB scrollY=0
   7109ms  dom              prerender=GONE liveCells=0 parsed=8.6MB scrollY=0
   7164ms  dom              prerender=GONE liveCells=0 parsed=8.7MB scrollY=0
   7219ms  dom              prerender=GONE liveCells=0 parsed=8.8MB scrollY=0
   7275ms  dom              prerender=GONE liveCells=0 parsed=8.9MB scrollY=0
   7331ms  dom              prerender=GONE liveCells=0 parsed=9.0MB scrollY=0
   7386ms  dom              prerender=GONE liveCells=0 parsed=9.1MB scrollY=0
   7553ms  dom              prerender=GONE liveCells=0 parsed=9.2MB scrollY=0
   7610ms  dom              prerender=GONE liveCells=0 parsed=9.3MB scrollY=0
   7665ms  dom              prerender=GONE liveCells=0 parsed=9.4MB scrollY=0
   7721ms  dom              prerender=GONE liveCells=0 parsed=9.6MB scrollY=0
   7777ms  dom              prerender=GONE liveCells=0 parsed=9.7MB scrollY=0
   7833ms  dom              prerender=GONE liveCells=0 parsed=9.8MB scrollY=0
   7887ms  dom              prerender=GONE liveCells=0 parsed=9.9MB scrollY=0
   7944ms  dom              prerender=GONE liveCells=0 parsed=10.0MB scrollY=0
   8056ms  dom              prerender=GONE liveCells=0 parsed=10.1MB scrollY=0
   8113ms  dom              prerender=GONE liveCells=0 parsed=10.2MB scrollY=0
   8169ms  dom              prerender=GONE liveCells=0 parsed=10.4MB scrollY=0
   8225ms  dom              prerender=GONE liveCells=0 parsed=10.5MB scrollY=0
   8282ms  dom              prerender=GONE liveCells=0 parsed=10.6MB scrollY=0
   8338ms  dom              prerender=GONE liveCells=0 parsed=10.8MB scrollY=0
   8395ms  dom              prerender=GONE liveCells=0 parsed=10.9MB scrollY=0
   8451ms  dom              prerender=GONE liveCells=0 parsed=11.1MB scrollY=0
   8564ms  dom              prerender=GONE liveCells=0 parsed=11.2MB scrollY=0
   8677ms  dom              prerender=GONE liveCells=0 parsed=11.4MB scrollY=0
   8733ms  dom              prerender=GONE liveCells=0 parsed=11.5MB scrollY=0
   8789ms  dom              prerender=GONE liveCells=0 parsed=11.7MB scrollY=0
   8846ms  dom              prerender=GONE liveCells=0 parsed=11.8MB scrollY=0
   8904ms  dom              prerender=GONE liveCells=0 parsed=12.0MB scrollY=0
   8961ms  dom              prerender=GONE liveCells=0 parsed=12.2MB scrollY=0
   9018ms  dom              prerender=GONE liveCells=0 parsed=12.3MB scrollY=0
   9134ms  dom              prerender=GONE liveCells=0 parsed=12.6MB scrollY=0
   9192ms  dom              prerender=GONE liveCells=0 parsed=12.8MB scrollY=0
   9251ms  dom              prerender=GONE liveCells=0 parsed=13.0MB scrollY=0
   9311ms  dom              prerender=GONE liveCells=0 parsed=13.2MB scrollY=0
   9370ms  dom              prerender=GONE liveCells=0 parsed=13.4MB scrollY=0
   9428ms  dom              prerender=GONE liveCells=0 parsed=13.6MB scrollY=0
   9488ms  dom              prerender=GONE liveCells=0 parsed=13.8MB scrollY=0
   9546ms  dom              prerender=GONE liveCells=0 parsed=13.9MB scrollY=0
   9605ms  dom              prerender=GONE liveCells=0 parsed=14.0MB scrollY=0
   9722ms  dom              prerender=GONE liveCells=0 parsed=14.2MB scrollY=0
   9738ms  DOMContentLoaded 
   9739ms  load             
   9739ms  load             
   9785ms  dom              prerender=GONE liveCells=0 parsed=14.5MB scrollY=0
  10904ms  dom              prerender=GONE liveCells=0 parsed=14.6MB scrollY=0
  11338ms  FIRST LIVE CELL  
  11395ms  dom              prerender=GONE liveCells=216 parsed=15.3MB scrollY=0
  11426ms  40 LIVE CELLS    
