      0ms  initscript       
     69ms  dom              prerender=in-page liveCells=0 parsed=0.2MB scrollY=0
    126ms  dom              prerender=in-page liveCells=0 parsed=0.3MB scrollY=0
    232ms  dom              prerender=in-page liveCells=0 parsed=0.4MB scrollY=0
    284ms  dom              prerender=in-page liveCells=0 parsed=0.5MB scrollY=0
    389ms  dom              prerender=in-page liveCells=0 parsed=0.6MB scrollY=0
    442ms  dom              prerender=in-page liveCells=0 parsed=0.8MB scrollY=0
    547ms  dom              prerender=in-page liveCells=0 parsed=0.9MB scrollY=0
    597ms  dom              prerender=overlay liveCells=0 parsed=0.1MB scrollY=0
    649ms  dom              prerender=overlay liveCells=0 parsed=0.2MB scrollY=0
    701ms  dom              prerender=overlay liveCells=0 parsed=0.3MB scrollY=0
    753ms  dom              prerender=overlay liveCells=0 parsed=0.4MB scrollY=0
    804ms  dom              prerender=overlay liveCells=0 parsed=0.5MB scrollY=0
    908ms  dom              prerender=overlay liveCells=0 parsed=0.6MB scrollY=0
    959ms  dom              prerender=overlay liveCells=0 parsed=0.7MB scrollY=0
   1010ms  dom              prerender=overlay liveCells=0 parsed=0.8MB scrollY=0
   1061ms  dom              prerender=overlay liveCells=0 parsed=0.9MB scrollY=0
   1113ms  dom              prerender=overlay liveCells=0 parsed=1.0MB scrollY=0
   1217ms  dom              prerender=overlay liveCells=0 parsed=1.1MB scrollY=0
   1270ms  dom              prerender=overlay liveCells=0 parsed=1.2MB scrollY=0
   1321ms  dom              prerender=overlay liveCells=0 parsed=1.3MB scrollY=0
   1373ms  dom              prerender=overlay liveCells=0 parsed=1.4MB scrollY=0
   1425ms  dom              prerender=overlay liveCells=0 parsed=1.5MB scrollY=0
   1476ms  dom              prerender=overlay liveCells=0 parsed=1.6MB scrollY=0
   1579ms  dom              prerender=overlay liveCells=0 parsed=1.8MB scrollY=0
   1630ms  dom              prerender=overlay liveCells=0 parsed=1.9MB scrollY=0
   1682ms  dom              prerender=overlay liveCells=0 parsed=2.0MB scrollY=0
   1734ms  dom              prerender=overlay liveCells=0 parsed=2.1MB scrollY=0
   1787ms  dom              prerender=overlay liveCells=0 parsed=2.2MB scrollY=0
   1891ms  dom              prerender=overlay liveCells=0 parsed=2.3MB scrollY=0
