      0ms  initscript       
     70ms  dom              prerender=in-page liveCells=0 parsed=0.1MB scrollY=0
    138ms  dom              prerender=in-page liveCells=0 parsed=0.3MB scrollY=0
    241ms  dom              prerender=in-page liveCells=0 parsed=0.4MB scrollY=0
    293ms  dom              prerender=in-page liveCells=0 parsed=0.5MB scrollY=0
    398ms  dom              prerender=in-page liveCells=0 parsed=0.6MB scrollY=0
    452ms  dom              prerender=in-page liveCells=0 parsed=0.8MB scrollY=0
    558ms  dom              prerender=in-page liveCells=0 parsed=0.9MB scrollY=0
    609ms  dom              prerender=overlay liveCells=0 parsed=0.2MB scrollY=0
    711ms  dom              prerender=overlay liveCells=0 parsed=0.4MB scrollY=0
    762ms  dom              prerender=overlay liveCells=0 parsed=0.5MB scrollY=0
    864ms  dom              prerender=overlay liveCells=0 parsed=0.6MB scrollY=0
    915ms  dom              prerender=overlay liveCells=0 parsed=0.7MB scrollY=0
    966ms  dom              prerender=overlay liveCells=0 parsed=0.8MB scrollY=0
   1017ms  dom              prerender=overlay liveCells=0 parsed=0.9MB scrollY=0
   1068ms  dom              prerender=overlay liveCells=0 parsed=1.0MB scrollY=0
   1171ms  dom              prerender=overlay liveCells=0 parsed=1.1MB scrollY=0
   1222ms  dom              prerender=overlay liveCells=0 parsed=1.2MB scrollY=0
   1273ms  dom              prerender=overlay liveCells=0 parsed=1.3MB scrollY=0
   1325ms  dom              prerender=overlay liveCells=0 parsed=1.4MB scrollY=0
   1376ms  dom              prerender=overlay liveCells=0 parsed=1.5MB scrollY=0
   1428ms  dom              prerender=overlay liveCells=0 parsed=1.6MB scrollY=0
   1532ms  dom              prerender=overlay liveCells=0 parsed=1.7MB scrollY=0
   1585ms  dom              prerender=overlay liveCells=0 parsed=1.8MB scrollY=0
   1637ms  dom              prerender=overlay liveCells=0 parsed=1.9MB scrollY=0
   1690ms  dom              prerender=overlay liveCells=0 parsed=2.0MB scrollY=0
   1741ms  dom              prerender=overlay liveCells=0 parsed=2.1MB scrollY=0
   1794ms  dom              prerender=overlay liveCells=0 parsed=2.2MB scrollY=0
   1900ms  dom              prerender=overlay liveCells=0 parsed=2.3MB scrollY=0
   1952ms  dom              prerender=overlay liveCells=0 parsed=2.4MB scrollY=0
   2007ms  dom              prerender=overlay liveCells=0 parsed=2.5MB scrollY=0
   2059ms  dom              prerender=overlay liveCells=0 parsed=2.6MB scrollY=0
   2111ms  dom              prerender=overlay liveCells=0 parsed=2.7MB scrollY=0
   2217ms  dom              prerender=overlay liveCells=0 parsed=2.8MB scrollY=0
   2271ms  dom              prerender=overlay liveCells=0 parsed=2.9MB scrollY=0
   2325ms  dom              prerender=overlay liveCells=0 parsed=3.0MB scrollY=0
   2377ms  dom              prerender=overlay liveCells=0 parsed=3.1MB scrollY=0
   2429ms  dom              prerender=overlay liveCells=0 parsed=3.2MB scrollY=0
   2484ms  dom              prerender=overlay liveCells=0 parsed=3.3MB scrollY=0
   2592ms  dom              prerender=overlay liveCells=0 parsed=3.4MB scrollY=0
   2647ms  dom              prerender=overlay liveCells=0 parsed=3.5MB scrollY=0
   2700ms  dom              prerender=overlay liveCells=0 parsed=3.7MB scrollY=0
   2754ms  dom              prerender=overlay liveCells=0 parsed=3.8MB scrollY=0
   2808ms  dom              prerender=overlay liveCells=0 parsed=3.9MB scrollY=0
   2914ms  dom              prerender=overlay liveCells=0 parsed=4.0MB scrollY=0
   2968ms  dom              prerender=overlay liveCells=0 parsed=4.1MB scrollY=0
   3023ms  dom              prerender=overlay liveCells=0 parsed=4.2MB scrollY=0
   3076ms  dom              prerender=overlay liveCells=0 parsed=4.3MB scrollY=0
   3130ms  dom              prerender=overlay liveCells=0 parsed=4.4MB scrollY=0
   3236ms  dom              prerender=overlay liveCells=0 parsed=4.5MB scrollY=0
   3291ms  dom              prerender=overlay liveCells=0 parsed=4.6MB scrollY=0
   3345ms  dom              prerender=overlay liveCells=0 parsed=4.7MB scrollY=0
   3399ms  dom              prerender=overlay liveCells=0 parsed=4.8MB scrollY=0
   3453ms  dom              prerender=overlay liveCells=0 parsed=4.9MB scrollY=0
   3506ms  dom              prerender=overlay liveCells=0 parsed=5.0MB scrollY=0
   3613ms  dom              prerender=overlay liveCells=0 parsed=5.1MB scrollY=0
   3666ms  dom              prerender=overlay liveCells=0 parsed=5.2MB scrollY=0
   3720ms  dom              prerender=overlay liveCells=0 parsed=5.4MB scrollY=0
   3774ms  dom              prerender=overlay liveCells=0 parsed=5.5MB scrollY=0
   3828ms  dom              prerender=overlay liveCells=0 parsed=5.6MB scrollY=0
   3936ms  dom              prerender=overlay liveCells=0 parsed=5.7MB scrollY=0
   3990ms  dom              prerender=overlay liveCells=0 parsed=5.8MB scrollY=0
   4044ms  dom              prerender=overlay liveCells=0 parsed=5.9MB scrollY=0
   4098ms  dom              prerender=overlay liveCells=0 parsed=6.0MB scrollY=0
   4153ms  dom              prerender=overlay liveCells=0 parsed=6.1MB scrollY=0
   4262ms  dom              prerender=overlay liveCells=0 parsed=6.2MB scrollY=0
   4318ms  dom              prerender=overlay liveCells=0 parsed=6.3MB scrollY=0
   4375ms  dom              prerender=overlay liveCells=0 parsed=6.4MB scrollY=0
   4430ms  dom              prerender=overlay liveCells=0 parsed=6.5MB scrollY=0
   4483ms  dom              prerender=overlay liveCells=0 parsed=6.7MB scrollY=0
   4593ms  dom              prerender=overlay liveCells=0 parsed=6.8MB scrollY=0
   4649ms  dom              prerender=overlay liveCells=0 parsed=6.9MB scrollY=0
   4704ms  dom              prerender=overlay liveCells=0 parsed=7.0MB scrollY=0
   4758ms  dom              prerender=overlay liveCells=0 parsed=7.1MB scrollY=0
   4813ms  dom              prerender=overlay liveCells=0 parsed=7.2MB scrollY=0
   4869ms  dom              prerender=overlay liveCells=0 parsed=7.3MB scrollY=0
   4979ms  dom              prerender=overlay liveCells=0 parsed=7.4MB scrollY=0
   5034ms  dom              prerender=overlay liveCells=0 parsed=7.5MB scrollY=0
   5089ms  dom              prerender=overlay liveCells=0 parsed=7.6MB scrollY=0
   5144ms  dom              prerender=overlay liveCells=0 parsed=7.7MB scrollY=0
   5200ms  dom              prerender=overlay liveCells=0 parsed=7.8MB scrollY=0
   5255ms  dom              prerender=overlay liveCells=0 parsed=7.9MB scrollY=0
   5311ms  dom              prerender=overlay liveCells=0 parsed=8.0MB scrollY=0
