hp spread dens | rocks paid  pieces scrap wrecked
 3      3 0.25 |   2.0 5/8       7   255       0
 3      3 0.55 |   5.0 3/8       7   255       0
 3      5 0.25 |   2.0 3/8       8   330       0
 3      5 0.55 |   5.0 7/8      17   645       0
 3      7 0.25 |   2.0 5/8      11   465       0
 3      7 0.55 |   5.0 5/8      10   435       0
 5      3 0.25 |   2.0 2/8       2    60       0
 5      3 0.55 |   5.0 3/8       5   195       0
 5      5 0.25 |   2.0 3/8       4   120       0
 5      5 0.55 |   5.0 3/8       4   165       0
 5      7 0.25 |   2.0 4/8       7   255       0
 5      7 0.55 |   5.0 6/8       9   450       0
 8      3 0.25 |   2.0 1/8       2    60       0
 8      3 0.55 |   5.0 0/8       0     0       0
 8      5 0.25 |   2.0 0/8       0     0       0
 8      5 0.55 |   5.0 0/8       0     0       0
 8      7 0.25 |   2.0 1/8       2    60       0
 8      7 0.55 |   5.0 2/8       3   135       0
